,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",0.0,2.8468659607008515e-08,0.0,0.0
"[45.0, 5.0, 75.0, 35.0]",0.0,0.0,0.0,1.4626372346100006e-13
"[85.0, 5.0, 115.0, 35.0]",0.0,-0.01,0.0,0.0
"[125.0, 5.0, 155.0, 35.0]",0.0,0.0,0.0,0.0
"[125.0, 45.0, 155.0, 75.0]",0.0,0.0,0.0,-0.0199
terminal,0.0,0.0,0.0,0.0
"[5.0, 45.0, 35.0, 75.0]",0.0,1.1672610805310436e-06,0.0,0.0
"[5.0, 85.0, 35.0, 115.0]",0.0,3.740842108349576e-05,-0.01,0.0
"[5.0, 125.0, 35.0, 155.0]",0.0,0.0,0.0009071520212673206,4.067620377616822e-07
"[45.0, 45.0, 75.0, 75.0]",0.0,-0.0199,-0.0199,0.0
"[45.0, 125.0, 75.0, 155.0]",0.0,8.100000000000001e-07,0.01583962625034754,0.0
"[85.0, 125.0, 115.0, 155.0]",0.17383137616441324,0.0014893761469492114,8.100000000000001e-07,1.4910833362176e-05
"[125.0, 85.0, 155.0, 115.0]",0.0,0.0,0.0,0.029701
"[125.0, 125.0, 155.0, 155.0]",0.0002682,0.0,0.0,0.0
