,0,1,2,3
"[5.0, 5.0, 35.0, 35.0]",-7.217097470388299e-09,-8.038881201062035e-07,-7.93878650350712e-07,0.0
"[45.0, 5.0, 75.0, 35.0]",0.0,-6.719915146453165e-09,-8.732691e-05,0.0
"[5.0, 45.0, 35.0, 75.0]",0.0,1.4474708584317184e-06,-8.821609052316314e-05,8.331520372991957e-10
"[5.0, 85.0, 35.0, 115.0]",6.413264298973607e-09,4.266565981953948e-05,-0.01,1.21731409629e-09
terminal,0.0,0.0,0.0,0.0
"[5.0, 125.0, 35.0, 155.0]",0.0,2.8651887e-08,0.0009992260087088988,0.0
"[45.0, 125.0, 75.0, 155.0]",0.0,9.323283228642311e-05,0.01819891561314502,0.0
"[45.0, 45.0, 75.0, 75.0]",-8.100000000000001e-07,-0.01,-0.0199,-7.539836424171049e-07
"[85.0, 5.0, 115.0, 35.0]",0.0,-0.0199,0.0,-7.859412586530976e-07
"[125.0, 5.0, 155.0, 35.0]",0.0,-8.910000000000001e-05,-8.100000000000001e-07,-7.144929000000002e-09
"[125.0, 45.0, 155.0, 75.0]",0.0,0.0,0.0,-0.0199
"[85.0, 125.0, 115.0, 155.0]",0.19836941046095402,0.0,0.0,0.0
"[125.0, 125.0, 155.0, 155.0]",0.0,0.0,0.0,0.0
"[125.0, 85.0, 155.0, 115.0]",0.0,0.0,0.0,0.0
